Codigo/SKU;Descricao;Estoque MGV;Estoque Bling;Diferenca Saldo;NCM MGV;NCM Bling;Preco MGV (R$);Preco Bling (R$);Status;Diagnostico Divergencias
"1727710";"ADESIVO APLICADOR ULTRAMED";3;0;3;"39199020";"";0.00;32.24;"QTY_DIVERGENCE";"Estoque divergente: MGV (3) vs Bling (0) [Dif: +3] | NCM divergente: MGV (39199020) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 32.24)"
"5852";"ADESIVO BEAUTY DERMO ANTIGO";4;0;4;"39199090";"";140.00;140.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"7852";"ADESIVO BEAUTY DERMO R04";5;0;5;"39199090";"";140.00;140.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (5) vs Bling (0) [Dif: +5] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"1224";"ADESIVO BEAUTY DERMO REV.01";3;0;3;"39199090";"";150.00;150.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (3) vs Bling (0) [Dif: +3] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"9661";"ADESIVO BEAUTY SHAPE DUO";1;0;1;"39199090";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"7268";"ADESIVO BEAUTY STEAM R03";8;0;8;"90189099";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (8) vs Bling (0) [Dif: +8] | NCM divergente: MGV (90189099) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"6254";"ADESIVO CANETA HF REV.01";4;0;4;"39199090";"";83.90;83.90;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"6205";"ADESIVO CLUSTER LED CIRCULAR REV.01";9;0;9;"48211000";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (9) vs Bling (0) [Dif: +9] | NCM divergente: MGV (48211000) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"12557";"ADESIVO ESP TEC CLUSTER LED AZUL (VN)";1;0;1;"39199090";"";0.00;4.22;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 4.22)"
"12252";"ADESIVO ESP TEC CLUSTER LED VERMELHO";1;0;1;"39199090";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"12552";"ADESIVO ESP TEC CLUSTER LED VERMELHO (VN)";1;0;1;"39199090";"";0.00;4.20;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 4.20)"
"30906015";"ADESIVO FACIAL";200;0;200;"39199090";"";90.00;90.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (200) vs Bling (0) [Dif: +200] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"480";"ADESIVO FLUENCE MAXX R02";7;0;7;"39199090";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (7) vs Bling (0) [Dif: +7] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"8118";"ADESIVO FLUENCE R04";5;0;5;"39199090";"";130.00;130.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (5) vs Bling (0) [Dif: +5] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"11060";"ADESIVO INFO HASTE BEAUTY STEAM R02 - NCM 39199090.";1;0;1;"39199090";"";0.00;7.50;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 7.50)"
"7860";"ADESIVO LIMINE R02";2;0;2;"39199090";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"7461";"ADESIVO LOGO HTM R02";3;0;3;"39199090";"";0.00;10.04;"QTY_DIVERGENCE";"Estoque divergente: MGV (3) vs Bling (0) [Dif: +3] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 10.04)"
"7895";"ADESIVO NIVEL DE AGUA RESERVATORIO R03 - NCM 39199090";2;0;2;"39199090";"";0.00;12.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 12.00)"
"10403";"ADESIVO NUMERO SERIE APLICADOR ACRUS R01";2;0;2;"39219019";"";0.00;1.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39219019) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 1.00)"
"3027047";"ADESIVO PAINEL - ARES  (VENDAS)                                                  NS: 0000000024";4;0;4;"39199090";"";0.00;89.55;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 89.55)"
"3027513";"ADESIVO PAINEL ARES- 2016                                                        NS: 0000000038";5;0;5;"39199090";"";0.00;90.87;"QTY_DIVERGENCE";"Estoque divergente: MGV (5) vs Bling (0) [Dif: +5] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 90.87)"
"3027070";"ADESIVO PAINEL DERMOSTEAM - (11/11)                                              NS: 0000000098";8;0;8;"39199090";"";109.00;109.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (8) vs Bling (0) [Dif: +8] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027626";"ADESIVO PAINEL DERMOSTEAM LED THERAPY                                            NS: 0000000018";5;0;5;"39199090";"";129.00;129.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (5) vs Bling (0) [Dif: +5] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027081";"ADESIVO PAINEL DERMOTONUS ESTHETIC - (02/12)                                     NS: 0000000048";2;0;2;"39199090";"";279.90;279.90;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027260";"ADESIVO PAINEL HECCUS  VS 04/13                                                  NS: 0000000068";10;0;10;"39199090";"";220.00;220.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (10) vs Bling (0) [Dif: +10] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027520";"ADESIVO PAINEL MODELLATA - V2.0";4;0;4;"39199090";"";120.00;120.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027199";"ADESIVO PAINEL NEURODYN";1;0;1;"39199090";"";380.00;380.00;"QTY_DIVERGENCE";"Estoque divergente: MGV (1) vs Bling (0) [Dif: +1] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027072";"ADESIVO PAINEL NEURODYN II - (12/11)  (VENDAS)                                   NS: 0000000026";4;0;4;"39199090";"";0.00;89.57;"QTY_DIVERGENCE";"Estoque divergente: MGV (4) vs Bling (0) [Dif: +4] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 89.57)"
"3027182";"ADESIVO PAINEL NEURODYN II 4 CANAIS (02/13)                                      NS: 0000000123";7;0;7;"39199090";"";139.90;139.90;"QTY_DIVERGENCE";"Estoque divergente: MGV (7) vs Bling (0) [Dif: +7] | NCM divergente: MGV (39199090) vs Bling (Não preenchido)"
"3027582";"ADESIVO PAINEL NEURODYN VS 2                                                     NS: 0000000034";2;0;2;"39199090";"";0.00;328.82;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 328.82)"
"3027191";"ADESIVO PAINEL SONOPULSE COMPACT (03/13)                                         NS: 0000000075";2;0;2;"39199090";"";0.00;89.57;"QTY_DIVERGENCE";"Estoque divergente: MGV (2) vs Bling (0) [Dif: +2] | NCM divergente: MGV (39199090) vs Bling (Não preenchido) | Preço divergente: MGV (R$ 0.00) vs Bling (R$ 89.57)"
